titulo,localizacion,moneda,precio,superficie_total,superficie_cubierta,dormitorios,ambientes,expensas,pisos,disposicion,piso,departamentos_x_piso,cocheras,tipo_departamento,antiguedad,con_pileta
Avenida 359 1600,Avenida 359 1600 - Ranelagh,$,60000,,,,,,,,,,40,,4años,
Monroe 5300,"Monroe 5300, 3° piso - Urquiza R",$,14500,,,1,,NoIncluidas,12,Contrafrente,,,,Departamento,18años,
Tte. B. Matienzo 1800,"Tte. B. Matienzo 1800, 3° piso - Las Cañitas",$,18000,3m²,60m²,2,,$5.600,,Contrafrente,,,,Departamento,40años,
Terrada 1200,Terrada 1200 - Flores Norte,SIMUL\xc TU CR\xcDITO'],19,90m²,100m²,4,,NoPaga,,Frente,,,,,50años,
TALCACUANO 400,TALCACUANO 400 - Tribunales,$,7500,,34m²,Monoambiente,,NoIncluidas,13,Lateral,,6,,Departamento,40años,
Larrea,Larrea - Barrio Norte,$,11500,,35m²,1,,,,Lateral,,,,Departamento,30años,
B De Irigoyen 200,B De Irigoyen 200 - Lanus Oeste,$,11000,,,1,,,,Frente,,,1,Departamento,,
PAUNERO 2700,PAUNERO 2700 - Parque Las Heras,$,8000,,,Monoambiente,,$2.500,,Lateral,,,,Departamento,40años,
Emilio Mitre 200,Emilio Mitre 200 - Caballito,$,23500,6m²,86m²,3,,NoIncluidas,,Frente,,,,Departamento,25años,
Gral J A Lavalleja 900,"Gral J A Lavalleja 900, 1° piso - Villa Crespo",$,14900,,,1,,,,,,,,,60años,
Av Triunvirato 3900,"Av Triunvirato 3900, 7° piso - Parque Chas",$,18500,,79m²,2,,NoIncluidas,,Contrafrente,,,,Departamento,4años,
Cnel R L Falcon 1800,"Cnel R L Falcon 1800, 5° piso - Caballito",$,10500,,43m²,1,,NoIncluidas,,Frente,,,,Departamento,20años,
O Higgins al 2200 1 A,O Higgins al 2200 1 A - Belgrano,$,28500,11m²,82m²,3,,$6.100,,Frente,,,1,,40años,
Ayacucho 1800,Ayacucho 1800 - Recoleta,$,16800,6m²,67m²,2,,NoIncluidas,,Contrafrente,,,,Semipiso,45años,
Av. Francia 1500,"Av. Francia 1500, 02° piso - Echesortu",$,7500,5m²,35m²,1,,,,Frente,,,1,Departamento,6años,
Fitz Roy 2200,"Fitz Roy 2200, 8° piso - Palermo Hollywood",$,14000,4m²,35m²,Monoambiente,,NoIncluidas,,Frente,,,,Departamento,,Si
Pueyrredon 2400,"Pueyrredon 2400, 1° piso - Recoleta",$,17000,,,2,,NoIncluidas,,Frente,,,,Departamento,,
SARMIENTO 4300,SARMIENTO 4300 - Almagro,$,15000,"4,35m²",39m²,2,,NoIncluidas,9,Frente,,4,,Departamento,,
Don Bosco 3400,"Don Bosco 3400, 7° piso - Almagro",$,8000,,25m²,Monoambiente,,NoIncluidas,,Contrafrente,,,,Departamento,58años,
Silvio L Ruggieri 2700,Silvio L Ruggieri 2700 - Parque Las Heras,$,22000,,93m²,2,,$3.300,,Contrafrente,,,,Departamento,,
Gral Eustaquio Frias 400,"Gral Eustaquio Frias 400, 11° piso - Villa Crespo",$,20000,,86m²,2,,$4.900,,Contrafrente,,,,Departamento,,
D De Basavilbaso 1300,D De Basavilbaso 1300 - Retiro,$,19000,3m²,58m²,2,,$7.200,,Frente,,,,Departamento,,
