post_id,titulo,precio,moneda,provincia,barrio,localizacion,tipo_propiedad,tipo_operacion,superficie_total,superficie_cubierta,dormitorios,ambientes,banos,expensas,piso,departamentos_x_piso,pisos,antiguedad,tipo_departamento,disposicion,condiciones_especiales,tipo_vendedor,vendedor,fotos,latitud,longitud,cocheras,descripcion,apto_credito,con_aire,con_jardin,con_parrilla,con_pileta,apto_profesional,url,
745251718,Rosales 2322  Valeria Del Mar,1.000,$,,,Rosales 2322 Valeria Del Mar - Bs.as. Costa Atlántica,,Otro, 1500 m² ,180 m²,5,,3,,,,,,,,,,,,,,2,,,,Si,Si,,,,
695143757,19 28  San Clemente,850,$,,,19 28 San Clemente - Bs.as. Costa Atlántica,,Otro, 42 m² ,40 m²,1,2,1,,2,,,,Departamento,Lateral,,,,,,,,,,,,,,,,
696607535,Maestra Piaggio 2557  Gualeguaychú,2.500,$,,,Maestra Piaggio 2557 Gualeguaychú - Entre Ríos,,Otro, 600 m² ,90 m²,2,3,1,,,,,,,,,,,,,,1,,,Si,Si,Si,Si,,,
701427317,Los Pinos 700  Costa Del Este,2.000,$,,,Los Pinos 700 Costa Del Este - Bs.as. Costa Atlántica,,Otro, 555 m² ,93 m²,2,,2,,,,,,,,,,,,,,,,,,Si,Si,,,,
694679231,Horacio Quiroga 106  Puerto Iguazú  Iguazú,700,$,,,Horacio Quiroga 106 Puerto Iguazú - Iguazú - Misiones,,Otro, 180 m² ,30 m²,1,1,1,,,,,,Monoambiente,Frente,,,,,,,2,,,Si,Si,Si,,,,
692469207,Av Cruz Del Sur Entre Los Incas Y Pangare 663  Mar De Las Pampas,1.500,$,,,Av Cruz Del Sur Entre Los Incas Y Pangare 663 Mar De Las Pampas - Bs.as. Costa Atlántica,,Otro, 675 m² ,90 m²,2,3,2,,,,,,,,,,,,,,,,,,Si,Si,,,,
727889369,Quinta Don Alejandro 0  Guernica  Presidente Perón,300,$,,,Quinta Don Alejandro 0 Guernica - Presidente Perón - Bs.as. G.b.a. Sur,,Otro, 20000 m² ,500 m²,3,3,3,,,,,20 años,,,,,,,,,,,,,,Si,Si,,,
690918574,Chiozza 2700  San Bernardo,700,$,,, ,,Otro, 25 m² ,25 m²,1,1,1,,3,,,,Departamento,Interno,,,,,,,,,,,,,,,,
702183915,Santos 744  Santa Clara Del Mar,2.666,$,,,Santos 744 Santa Clara Del Mar - Bs.as. Costa Atlántica,,Otro, 150 m² ,75 m²,2,3,2,,,,1,,,,,,,,,,1,,,,Si,Si,Si,,,
716641926,Colón 1500  Bristol  Mar Del Plata,1.300,$,,,Colón 1500 Bristol - Mar Del Plata - Bs.as. Costa Atlántica,,Otro, 60 m² ,60 m²,1,3,1,,,,,,Departamento,Frente,,,,,,,,,,,,,,,,
695253436,Caranday 380  Carpintería  Junín,1.500,$,,,Caranday 380 Carpintería - Junín - San Luis,,Otro, 1070 m² ,60 m²,1,2,1,,,,,,,,,,,,,,,,,Si,Si,Si,Si,,,
691185378,Martinez De Hoz 3000  La Reja  Moreno,4.900,$,,,Martinez De Hoz 3000 La Reja - Moreno - Bs.as. G.b.a. Oeste,,Otro, 2000 m² ,134 m²,2,3,2,,,,,0 años,,,,,,,,,,,,Si,,Si,Si,,,
691829352,Paseo 103 72  Villa Gesell,1.000,$,,,Paseo 103 72 Villa Gesell - Bs.as. Costa Atlántica,,Otro, 55 m² ,52 m²,1,2,1,,6,,,,Departamento,Lateral,,,,,,,1,,,,,,,,,
700300480,Ruta 25 Km 12 158  Boca Raton  Pilar,5.000,$,,,Ruta 25 Km 12 158 Boca Raton - Pilar - Bs.as. G.b.a. Norte,,Otro, 850 m² ,300 m²,3,6,3,,,,2,,,,,,,,,,2,,,Si,Si,Si,Si,,,
699709696,135 Y 104 Nº 3111  Mercedes,2.500,$,,,135 Y 104 Nº 3111 Mercedes - Buenos Aires Interior,,Otro, 1600 m² ,110 m²,2,3,2,,,,,20 años,,,,,,,,,,,,,,Si,Si,,,
724756405,San Martin 400  San Carlos De Bariloche  Bariloche,1.300,$,,,San Martin 400 San Carlos De Bariloche - Bariloche - Río Negro,,Otro, 39 m² ,36 m²,1,1,1,,,,,,Monoambiente,Frente,,,,,,,1,,,,,,,,,
690018457,45 350  Santa Teresita,7.500,$,,,45 350 Santa Teresita - Bs.as. Costa Atlántica,,Otro, 15 m² ,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
713902297,Gral. Pinto 1401 8756  Moreno,5.000,$,,,Gral. Pinto 1401 8756 Moreno - Bs.as. G.b.a. Oeste,,Otro, 900 ha ,150 m²,2,3,2,,,,,20 años,,,,,,,,,,,,,,Si,Si,,,
753352556,Av. Fuerza Aerea 1451-1581 Sn  Funes  Rosario,134.000,U$S,,,Av. Fuerza Aerea 1451-1581 Sn Funes - Rosario - Santa Fe,,Otro, 1050 m² ,,,,,,,,,,,,,,,,,,,,,,,,,,,
745770093,105 191  Villa Gesell,1.700,$,,,105 191 Villa Gesell - Bs.as. Costa Atlántica,,Otro, 30 m² ,26 m²,1,1,1,,4,,,,Departamento,Frente,,,,,,,,,,,,,,,,
709971367,Dunas Y Circe 850  Pinamar,2.000,$,,,Dunas Y Circe 850 Pinamar - Bs.as. Costa Atlántica,,Otro, 220 m² ,198 m²,3,,3,,,,,,,,,,,,,,2,,,Si,Si,Si,Si,,,
751773646,Lopez Y Planes 200  Huerta Grande  Punilla,10.000,U$S,,,Lopez Y Planes 200 Huerta Grande - Punilla - Córdoba,,Otro, 250 m² ,,,,,,,,,,,,,,Grupohuerta Neg Inmobiliarios,,,,,,,,,,,,,
713817662,Lavalle 750  San Vicente,4.500,$,,,Lavalle 750 San Vicente - Buenos Aires Interior,,Otro, 3500 ha ,280 m²,5,9,4,,,,,20 años,,,,,,,,,,,,,,Si,Si,,,
690037928,Mitre 2730  San Bernardo,9.000,$,,,Mitre 2730 San Bernardo - Bs.as. Costa Atlántica,,Otro, 90 m² ,80 m²,3,4,2,,,,,,,,,,,,,,1,,,,,Si,,,,
754771337,Sarmiento 2371  Mar Del Plata,46.000,U$S,,,Sarmiento 2371 Mar Del Plata - Bs.as. Costa Atlántica,,Otro, 30 m² ,28 m²,1,1,1,,,,,29 años,Departamento,Contrafrente,,,Belluccipropiedades,,,,,,,,,,,,,
751554329,Martindale Country Club  Martindale  Pilar,249.000,U$S,,,Martindale Country Club Martindale - Pilar - Bs.as. G.b.a. Norte,,Otro, 1198 m² ,,3,,3,,,,,,,,,,Carlos Belsito,,,,,,,,,,,,,
753596838,Colon 2131  Mar Del Plata,72.900,U$S,,,Colon 2131 Mar Del Plata - Bs.as. Costa Atlántica,,Otro, 38 m² ,38 m²,1,2,1,,,,,0 años,Departamento,Contrafrente,,,Belluccipropiedades,,,,,,,,,,,,,
690962219,Los Pinos 1026  Costa Del Este,30,$,,,Los Pinos 1026 Costa Del Este - Bs.as. Costa Atlántica,,Otro, 400 m² ,70 m²,2,3,1,,,,,,,,,,,,,,1,,,,Si,Si,,,,
