titulo,localizacion,moneda,precio,superficie_total,superficie_cubierta,dormitorios,ambientes,expensas,pisos,disposicion,piso,departamentos_x_piso,cocheras,tipo_departamento,antiguedad,con_pileta
"Arroyo Gelvez 0, Delta, Tigre",Arroyo Gelvez 0 Delta - Tigre - Bs.as. G.b.a. Norte,$,1.300, 40 m² ,40 m²,1,2,,,,,,,,,
"Chiozza 2700, San Bernardo", ,$,700, 25 m² ,25 m²,1,1,,,Interno,3,,,Departamento,,
"De Los Pinos 377, Mar De Cobo",De Los Pinos 377 Mar De Cobo - Bs.as. Costa Atlántica,$,1.000, 300 m² ,50 m²,2,3,,2,,,,2,,,Si
"Horacio Quiroga 106, Puerto Iguazú, Iguazú",Horacio Quiroga 106 Puerto Iguazú - Iguazú - Misiones,$,700, 180 m² ,30 m²,1,1,,,Frente,,,2,Monoambiente,,
"Ruta 8 42800, Parque Peró, Pilar",Ruta 8 42800 Parque Peró - Pilar - Bs.as. G.b.a. Norte,$,8.000, 1500 m² ,240 m²,3,5,,,,,,,,10 años,Si
"San Martin 400, San Carlos De Bariloche, Bariloche",San Martin 400 San Carlos De Bariloche - Bariloche - Río Negro,$,1.300, 39 m² ,36 m²,1,1,,,Frente,,,1,Monoambiente,,
"Del Tridente Y Cipreses 1021, Pinamar",Del Tridente Y Cipreses 1021 Pinamar - Bs.as. Costa Atlántica,$,5.000, 600 m² ,180 m²,4,5,,,,,,2,,,
"Maestra Piaggio 2557, Gualeguaychú",Maestra Piaggio 2557 Gualeguaychú - Entre Ríos,$,2.500, 600 m² ,90 m²,2,3,,,,,,1,,,Si
"19 28, San Clemente",19 28 San Clemente - Bs.as. Costa Atlántica,$,850, 42 m² ,40 m²,1,2,,,Lateral,2,,,Departamento,,
"Salta 3210, San Bernardo",Salta 3210 San Bernardo - Bs.as. Costa Atlántica,$,1.500, 80 m² ,45 m²,2,3,,,,,,1,,,
"Paseo 103 72, Villa Gesell",Paseo 103 72 Villa Gesell - Bs.as. Costa Atlántica,$,1.000, 55 m² ,52 m²,1,2,,,Lateral,6,,1,Departamento,,
"Jilguero 600, Cariló",Jilguero 600 Cariló - Bs.as. Costa Atlántica,$,1.700, 1400 m² ,100 m²,2,4,,,,,,1,,,
"Martinez De Hoz 3000, La Reja, Moreno",Martinez De Hoz 3000 La Reja - Moreno - Bs.as. G.b.a. Oeste,$,4.900, 2000 m² ,134 m²,2,3,,,,,,,,0 años,Si
"Avenida De Mar 1000, Linea Norte Mar, Pinamar",Avenida De Mar 1000 Linea Norte Mar - Pinamar - Bs.as. Costa Atlántica,$,2.000, 80 m² ,80 m²,1,2,,,,,,1,,,Si
"Rio De Janeiro 762, Santa Clara Del Mar",Rio De Janeiro 762 Santa Clara Del Mar - Bs.as. Costa Atlántica,$,1.500, 150 m² ,90 m²,2,3,,2,,,,1,,,
"Colón 1500, Bristol, Mar Del Plata",Colón 1500 Bristol - Mar Del Plata - Bs.as. Costa Atlántica,$,1.300, 60 m² ,60 m²,1,3,,,Frente,,,,Departamento,,
"51 557, San Clemente",51 557 San Clemente - Bs.as. Costa Atlántica,$,1.190, 160 m² ,112 m²,3,5,,,,,,1,,,
"8 Entre 19 Y 17 100, Laguna De Lobos, Lobos",8 Entre 19 Y 17 100 Laguna De Lobos - Lobos - Buenos Aires Interior,$,2.500, 2500 m² ,70 m²,2,,,,,,,,,,
"Lago Hess 13018, Playa Serena, Bariloche",Lago Hess 13018 Playa Serena - Bariloche - Río Negro,$,3.500, 62 m² ,42 m²,1,3,,1,,,,,,,
"Dra Marta Schwarz 234, Puerto Iguazú, Iguazú",Dra Marta Schwarz 234 Puerto Iguazú - Iguazú - Misiones,$,1.000, 80 m² ,80 m²,2,2,,,Lateral,,,2,Departamento,,
"Pinamar Y 30 1, Mar Azul",Pinamar Y 30 1 Mar Azul - Bs.as. Costa Atlántica,$,2.000, 100 m² ,65 m²,2,3,,,,,,1,,,
"37 Entre Mar Del Plata Y Punta Del Este 228, Mar Azul",37 Entre Mar Del Plata Y Punta Del Este 228 Mar Azul - Bs.as. Costa Atlántica,$,1.300, 120 m² ,43 m²,2,3,,,,,,,,,
"105 191, Villa Gesell",105 191 Villa Gesell - Bs.as. Costa Atlántica,$,1.550, 30 m² ,26 m²,1,1,,,Frente,4,,,Departamento,,
"135 Y 104 Nº 3111, Mercedes",135 Y 104 Nº 3111 Mercedes - Buenos Aires Interior,$,2.500, 1600 m² ,110 m²,2,3,,,,,,,,20 años,Si
"Avestruz Y Mimbre 600, Cariló",Avestruz Y Mimbre 600 Cariló - Bs.as. Costa Atlántica,$,3.500, 1100 m² ,250 m²,4,5,,,,,,1,,,
"23 685, Miramar",23 685 Miramar - Bs.as. Costa Atlántica,$,1.300, 38 m² ,38 m²,1,1,,,Lateral,6,,,Monoambiente,,
"Doello Jurado 3000, Gualeguaychú",Doello Jurado 3000 Gualeguaychú - Entre Ríos,$,3.000, 1100 m² ,250 m²,3,4,,,,,,,,5 años,Si
"Padre Cardiel 700, Mar De Las Pampas",Padre Cardiel 700 Mar De Las Pampas - Bs.as. Costa Atlántica,$,8.000, 600 m² ,300 m²,4,,,,,,,1,,,
"Av Pedro Luro 2330, Mar Del Plata, Buenos Aires 2330, Centro, Mar Del Plata","Av Pedro Luro 2330, Mar Del Plata, Buenos Aires 2330 Centro - Mar Del Plata - Bs.as. Costa Atlántica",$,1.100, 27 m² ,25 m²,1,1,,,Frente,10,,,Departamento,,
"Almirante Brown 650, San Rafael",Almirante Brown 650 San Rafael - Mendoza,$,1.000, 150 ha ,60 m²,1,3,,,,,,,,1 años,
"30 700, Mar Azul",30 700 Mar Azul - Bs.as. Costa Atlántica,$,1.300, 3000 m² ,100 m²,2,3,,,,,,1,,,
"Calle Buenos Aires 2700, Centro, Mar Del Plata",Calle Buenos Aires 2700 Centro - Mar Del Plata - Bs.as. Costa Atlántica,$,1.100, 75 m² ,40 m²,1,2,,,Frente,,,,Departamento,,
"Quinta Don Alejandro 0, Guernica, Presidente Perón",Quinta Don Alejandro 0 Guernica - Presidente Perón - Bs.as. G.b.a. Sur,$,300, 20000 m² ,500 m²,3,3,,,,,,,,20 años,Si
"Avenida Costanera 740, Villa Gesell",Avenida Costanera 740 Villa Gesell - Bs.as. Costa Atlántica,$,70.000, 66 m² ,60 m²,1,2,,,Frente,,,1,Departamento,,Si
"Arroyo Arroyon 3100, Delta, Tigre",Arroyo Arroyon 3100 Delta - Tigre - Bs.as. G.b.a. Norte,$,1.800, 100 m² ,100 m²,1,2,,1,,,,,,,
"Balcarce 672, Colón",Balcarce 672 Colón - Entre Ríos,$,1.200, 600 m² ,300 m²,,,,,,,,,,7 años,
"Avenida Leopoldo Zarling 1086, Bombinhas, Santa Catarina",Avenida Leopoldo Zarling 1086 Bombinhas - Santa Catarina - Brasil,$,2.000, 90 m² ,75 m²,2,5,,,Lateral,,,1,Departamento,,
"Calle 43 Entre Viñas Del Mar Y Copaca 0, Mar Azul",Calle 43 Entre Viñas Del Mar Y Copaca 0 Mar Azul - Bs.as. Costa Atlántica,$,1.500, 800 m² ,260 m²,2,,,,,,,4,,,Si
"145 Y Playa 4460, Villa Gesell",145 Y Playa 4460 Villa Gesell - Bs.as. Costa Atlántica,$,1.000, 70 m² ,70 m²,2,3,,,Frente,2,,1,Departamento,,
"Dunas Y Circe 850, Pinamar",Dunas Y Circe 850 Pinamar - Bs.as. Costa Atlántica,$,2.000, 220 m² ,198 m²,3,,,,,,,2,,,Si
"Chile 2600, La Lonja, Pilar",Chile 2600 La Lonja - Pilar - Bs.as. G.b.a. Norte,$,22.000, 5000 m² ,350 m²,1,5,,,,,,,,6 años,Si
"Av. Costanera Y Paseo 113 100, Villa Gesell",Av. Costanera Y Paseo 113 100 Villa Gesell - Bs.as. Costa Atlántica,$,600, 30 m² ,30 m²,1,1,,,Contrafrente,3,,,Departamento,,
"Gobernador Peña 255, Santa Rita, Villa Carlos Paz",Gobernador Peña 255 Santa Rita - Villa Carlos Paz - Córdoba,$,850, 1000 m² ,56 m²,2,,,,,,,5,,,
"Cruz Del Sur Y Piquito De Oro 1, Villa Ventana, Tornquist",Cruz Del Sur Y Piquito De Oro 1 Villa Ventana - Tornquist - Buenos Aires Interior,$,1.890, 750 m² ,90 m²,2,3,,,,,,1,,,Si
"Belgrano 125, La Lucila Del Mar",Belgrano 125 La Lucila Del Mar - Bs.as. Costa Atlántica,$,1, 61 m² ,61 m²,2,3,,,,,,1,,,
"Acceso Norte Y Ruta 26 1, Agosto, Pilar",Acceso Norte Y Ruta 26 1 Agosto - Pilar - Bs.as. G.b.a. Norte,$,6.000, 7500 m² ,450 m²,3,5,,,,,,,,10 años,
"Paraje La Angostura 100, Villa Pehuenia, Aluminé",Paraje La Angostura 100 Villa Pehuenia - Aluminé - Neuquén,$,1.500, 60 m² ,60 m²,2,4,,,,,,1,,,
"Periquito 223, Bombinhas, Santa Catarina",Periquito 223 Bombinhas - Santa Catarina - Brasil,$,1.100, 80 m² ,66 m²,2,3,,,Lateral,3,,1,Departamento,,
"Av. Roldan 200, Nueva Atlantis",Av. Roldan 200 Nueva Atlantis - Bs.as. Costa Atlántica,$,1.000, 60 m² ,40 m²,2,,,,,,,1,,,
"San Martin 230, Pueblo General Belgrano, Gualeguaychú",San Martin 230 Pueblo General Belgrano - Gualeguaychú - Entre Ríos,$,1.200, 1000 m² ,100 m²,1,1,,,,,,1,Departamento,,Si
"33 Entre 40 Y 42 1439, Claromecó, Tres Arroyos",33 Entre 40 Y 42 1439 Claromecó - Tres Arroyos - Buenos Aires Interior,$,1.100, 200 m² ,74 m²,2,3,,,,,,1,,,
"Olavarria 2261, Torreón, Mar Del Plata",Olavarria 2261 Torreón - Mar Del Plata - Bs.as. Costa Atlántica,$,1.000, 50 m² ,48 m²,1,2,,,Frente,8,,,Departamento,,
"Hernández 800, San Bernardo",Hernández 800 San Bernardo - Bs.as. Costa Atlántica,$,9.900, 111 m² ,111 m²,2,,,,,,,1,,,
"Geronimo Rejon 4045, La Perla, Mar Del Plata",Geronimo Rejon 4045 La Perla - Mar Del Plata - Bs.as. Costa Atlántica,$,750, 250 m² ,40 m²,1,2,,,Contrafrente,1,,,Departamento,,
"Diagonal Libertad 584, Nueva Atlantis",Diagonal Libertad 584 Nueva Atlantis - Bs.as. Costa Atlántica,$,2.000, 500 m² ,100 m²,2,3,,2,,,,1,,,
"Av. De Los Trabajadores 2729, Punta Mogotes, Mar Del Plata",Av. De Los Trabajadores 2729 Punta Mogotes - Mar Del Plata - Bs.as. Costa Atlántica,$,999, 44 m² ,37 m²,1,2,,,Frente,,,1,Departamento,,
"Los Castaños 592, Chascomús",Los Castaños 592 Chascomús - Buenos Aires Interior,$,1.000, 40 m² ,28 m²,,,,,,,,1,,,
"Dr. Luis Cettour Y Cabildo 6, San José, Colón",Dr. Luis Cettour Y Cabildo 6 San José - Colón - Entre Ríos,$,900, 75 m² ,60 m²,,,,,,,,,,5 años,
"173 Y Playa 1, Mar De Las Pampas",173 Y Playa 1 Mar De Las Pampas - Bs.as. Costa Atlántica,$,2.000, 96 m² ,96 m²,2,4,,,Frente,,,1,Dúplex,,Si
"Hipolito Irigoyen 2351, Nueva Atlantis",Hipolito Irigoyen 2351 Nueva Atlantis - Bs.as. Costa Atlántica,$,25.000, 1500 m² ,500 m²,2,3,,1,,,,4,,,Si
"9 De Julio 2332, Centro, Mar Del Plata",9 De Julio 2332 Centro - Mar Del Plata - Bs.as. Costa Atlántica,$,2.000, 70 m² ,80 m²,2,3,,,Lateral,,,1,Departamento,,
"Elios 424, Frontera, Pinamar",Elios 424 Frontera - Pinamar - Bs.as. Costa Atlántica,$,16.000, 1000 m² ,450 m²,5,8,,2,,,,4,,,Si
"12 801, Miramar",12 801 Miramar - Bs.as. Costa Atlántica,$,1.450, 52 m² ,48 m²,1,2,,,Frente,6,,1,Departamento,,
"40, Entre Punta D. Este Y M. D. Plata 50, Mar Azul","40, Entre Punta D. Este Y M. D. Plata 50 Mar Azul - Bs.as. Costa Atlántica",$,1.700, 500 m² ,95 m²,3,4,,2,,,,2,,,
"Las Moreras 915, Ezeiza",Las Moreras 915 Ezeiza - Bs.as. G.b.a. Sur,$,5.500, 2000 m² ,150 m²,4,6,,,,,,,,,Si
"Falkner 100, San Bernardo",Falkner 100 San Bernardo - Bs.as. Costa Atlántica,$,900, 43 m² ,40 m²,1,2,,,Lateral,5,,1,Departamento,,
"Fragata Sarmiento Y Submarino Peral 0, Pinamar",Fragata Sarmiento Y Submarino Peral 0 Pinamar - Bs.as. Costa Atlántica,$,5.000, 850 m² ,200 m²,4,5,,,,,,1,,,Si
"Santa Fe 100, Los Cardales, Exaltación De La Cruz",Santa Fe 100 Los Cardales - Exaltación De La Cruz - Buenos Aires Interior,$,1.900, 1 ha ,1 m²,1,4,,,,,,,,6 años,Si
"Ramón J. Cárcano 1595, Los Algarrobos, Villa Carlos Paz",Ramón J. Cárcano 1595 Los Algarrobos - Villa Carlos Paz - Córdoba,$,500, 50 m² ,50 m²,1,2,,,Interno,,,1,Departamento,,
"Juan José Paso 144, Villa Cura Brochero, San Alberto",Juan José Paso 144 Villa Cura Brochero - San Alberto - Córdoba,$,350, 400 m² ,60 m²,2,5,,,,,,1,,,
"34 600, Santa Teresita",34 600 Santa Teresita - Bs.as. Costa Atlántica,$,900, 35 m² ,35 m²,1,2,,,Lateral,,,1,Departamento,,
"Cadiz 36, Santa Clara Del Mar",Cadiz 36 Santa Clara Del Mar - Bs.as. Costa Atlántica,$,900, 450 m² ,45 m²,2,3,,,,,,,,,
"Calle 116 Y Costanera 22, Villa Gesell",Calle 116 Y Costanera 22 Villa Gesell - Bs.as. Costa Atlántica,$,700, 30 m² ,26 m²,1,1,,,Lateral,2,,,Departamento,,
"A Solo 1 Hora De Capital - Tarifas Otono Invierno 40% Mas Barato. 1, Pilar",A Solo 1 Hora De Capital - Tarifas Otono Invierno 40% Mas Barato. 1 Pilar - Bs.as. G.b.a. Norte,$,10.500, 200000 m² ,310 m²,5,5,,,,,,,,5 años,Si
"Punta Indio E/43 Y 44 457, Mar Azul",Punta Indio E/43 Y 44 457 Mar Azul - Bs.as. Costa Atlántica,$,1.650, 200 m² ,90 m²,3,,,,,,,,,,
"Servidao Anhatomirim 227, Florianópolis, Santa Catarina",Servidao Anhatomirim 227 Florianópolis - Santa Catarina - Brasil,$,500, 80 m² ,60 m²,2,2,,,Frente,,,6,Piso,,Si
"Rp 228 Y Barzola 00, Santa Rosa De Calamuchita, Calamuchita",Rp 228 Y Barzola 00 Santa Rosa De Calamuchita - Calamuchita - Córdoba,$,1.500, 90 m² ,45 m²,1,2,,,,,,1,,,Si
"Av Costanera 1351, San Clemente",Av Costanera 1351 San Clemente - Bs.as. Costa Atlántica,$,850, 30 m² ,30 m²,1,1,,,,,,1,,5 años,
"7 1237, Santa Teresita",7 1237 Santa Teresita - Bs.as. Costa Atlántica,$,1.000, 20 m² ,20 m²,2,3,,,,,,1,,,
"Pedro De Mendoza 144, Monte Hermoso",Pedro De Mendoza 144 Monte Hermoso - Buenos Aires Interior,$,2.200, 90 m² ,90 m²,2,4,,,Lateral,1,,1,Departamento,,
"Golfo San Jorge Esquina Chinchorro 100, Santa Clara Del Mar",Golfo San Jorge Esquina Chinchorro 100 Santa Clara Del Mar - Bs.as. Costa Atlántica,$,3.000, 70 m² ,70 m²,1,3,,1,,,,1,,,Si
"Santa Elena 300, Santa Clara Del Mar",Santa Elena 300 Santa Clara Del Mar - Bs.as. Costa Atlántica,$,1.000, 65 m² ,60 m²,2,3,,,Frente,1,,,Departamento,,
"Santiago De Compostela 800, Los Reartes, Calamuchita",Santiago De Compostela 800 Los Reartes - Calamuchita - Córdoba,$,2.000, 4000 m² ,80 m²,2,4,,,,,,1,,,
"Paseo 110 10, Villa Gesell",Paseo 110 10 Villa Gesell - Bs.as. Costa Atlántica,$,1.200, 25 m² ,25 m²,1,1,,,Frente,,,,Departamento,,
"Bilbao 215, Santa Clara Del Mar", ,$,1.000, 100 m² ,82 m²,,,,,,,,,,5 años,
"Av. Pte Perón 1500, Colón",Av. Pte Perón 1500 Colón - Entre Ríos,$,1.400, 1250 m² ,330 m²,1,2,,,,,,1,,,Si
"Tambor De Tacuari 3200, Francisco Álvarez, Moreno",Tambor De Tacuari 3200 Francisco Álvarez - Moreno - Bs.as. G.b.a. Oeste,$,1, 2000 m² ,200 m²,,,,,,,,,,,
"6 4377, Necochea",6 4377 Necochea - Bs.as. Costa Atlántica,$,1.000, 200 m² ,60 m²,,,,,,,,,,10 años,
"Avellaneda 1, Centro, Villa Carlos Paz",Avellaneda 1 Centro - Villa Carlos Paz - Córdoba,$,1.199, 37 m² ,35 m²,1,2,,,Contrafrente,1,,,Departamento,,
"Avenida 2 1000, Villa Gesell",Avenida 2 1000 Villa Gesell - Bs.as. Costa Atlántica,$,1.500, 70 m² ,60 m²,2,4,,,Frente,,,1,Dúplex,,
"Villa General Belgrano 0, Lomas Este, Villa General Belgrano",Villa General Belgrano 0 Lomas Este - Villa General Belgrano - Córdoba,$,1.200, 1000 m² ,160 m²,2,5,,2,,,,1,,,
"Libertad 627, Centro, Villa Carlos Paz",Libertad 627 Centro - Villa Carlos Paz - Córdoba,$,1.300, 70 m² ,55 m²,1,2,,,Lateral,,,1,Departamento,,Si
"Tres Picos 245, Las Grutas, San Antonio",Tres Picos 245 Las Grutas - San Antonio - Río Negro,$,1.800, 1 m² ,1 m²,2,3,,2,,,,2,,,
"Shakespeare 849, Ostende",Shakespeare 849 Ostende - Bs.as. Costa Atlántica,$,700, 320 m² ,30 m²,2,3,,,,1,,1,,,
"Delfin 0, Mar De Las Pampas",Delfin 0 Mar De Las Pampas - Bs.as. Costa Atlántica,$,1.500, 1400 m² ,650 m²,1,,,,,,,1,,,Si
"Av. 1 Y Calle 143 113, Villa Gesell",Av. 1 Y Calle 143 113 Villa Gesell - Bs.as. Costa Atlántica,$,1.000, 25 m² ,25 m²,1,1,,,Frente,2,,1,Departamento,,
"46 Entre Copacabana Y Punta Del Este 000, Mar Azul",46 Entre Copacabana Y Punta Del Este 000 Mar Azul - Bs.as. Costa Atlántica,$,2.500, 300 m² ,92 m²,2,3,,,,,,,,,
"Green Park Ruta Interbalnearia 118, Punta Del Este, Maldonado",Green Park Ruta Interbalnearia 118 Punta Del Este - Maldonado - Uruguay,U$S,80, 65 m² ,60 m²,1,2,,,,,,1,Departamento,,Si
"1 6400, Mar Del Tuyú",1 6400 Mar Del Tuyú - Bs.as. Costa Atlántica,$,2.000, 80 m² ,60 m²,2,,,,,,,1,,,
"Viamonte 2031, Torreón, Mar Del Plata",Viamonte 2031 Torreón - Mar Del Plata - Bs.as. Costa Atlántica,$,1.300, 48 m² ,45 m²,1,2,,,Frente,15,,,Departamento,,
"Costanera Y Calle 43 2161, Mar Azul",Costanera Y Calle 43 2161 Mar Azul - Bs.as. Costa Atlántica,$,8.000, 200 m² ,150 m²,3,6,,2,,,,1,,,Si
"Jose Marti 0, Francisco Álvarez, Moreno",Jose Marti 0 Francisco Álvarez - Moreno - Bs.as. G.b.a. Oeste,$,7.500, 1800 ha ,100 m²,,,,,,,,,,,Si
"Av. Costanera 2525 / Calle 22 E. Av.3ra Y Plaza Pereira 346, San Clemente", ,$,1.000, 40 m² ,39 m²,1,2,,,Lateral,3,,,Departamento,,
"Ricchieri 172, Chascomús",Ricchieri 172 Chascomús - Buenos Aires Interior,$,1.000, 90 m² ,50 m²,2,3,,,,,,,,,
"Avenida 2 4300, Necochea",Avenida 2 4300 Necochea - Bs.as. Costa Atlántica,$,1.000, 30 m² ,30 m²,1,1,,,Frente,13,,,Monoambiente,,
"Belgrano 1400, Nueva Atlantis",Belgrano 1400 Nueva Atlantis - Bs.as. Costa Atlántica,$,1.300, 400 m² ,200 m²,3,5,,,,,,1,,,
"De Los Langostinos 906, Zona Duplex, Pinamar",De Los Langostinos 906 Zona Duplex - Pinamar - Bs.as. Costa Atlántica,$,2.000, 115 m² ,75 m²,2,4,,,Lateral,,,1,Dúplex,,
"Cruz Del Sur 160, Carpintería, Junín",Cruz Del Sur 160 Carpintería - Junín - San Luis,$,1.200, 3300 m² ,45 m²,,,,,,,,,,1 años,
"De La Tijereta 741, Centro, Pinamar",De La Tijereta 741 Centro - Pinamar - Bs.as. Costa Atlántica,$,1.500, 90 m² ,80 m²,2,3,,,Frente,1,,1,Semi piso,,
"Avda Acapulco 800, Santa Clara Del Mar",Avda Acapulco 800 Santa Clara Del Mar - Bs.as. Costa Atlántica,$,850, 100 m² ,50 m²,1,3,,1,,,,,,,
"Calle 44 1428, San Clemente",Calle 44 1428 San Clemente - Bs.as. Costa Atlántica,$,800, 800 m² ,50 m²,1,2,,,,,,1,,,
"Arroyo Abra Vieja 75, Tigre",Arroyo Abra Vieja 75 Tigre - Bs.as. G.b.a. Norte,$,900, 6000 m² ,30 m²,1,2,,,,,,,,,
"307 1181, Villa Gesell",307 1181 Villa Gesell - Bs.as. Costa Atlántica,$,450, 980 m² ,100 m²,3,3,,2,,,,3,,,Si
"Blas Parera 500, Ingeniero Maschwitz, Escobar",Blas Parera 500 Ingeniero Maschwitz - Escobar - Bs.as. G.b.a. Norte,$,3.000, 1900 m² ,400 m²,5,,,,,,,,,35 años,Si
"Moctezuma Y Patagones 100, Bosques De Peralta Ramos, Mar Del Plata",Moctezuma Y Patagones 100 Bosques De Peralta Ramos - Mar Del Plata - Bs.as. Costa Atlántica,$,3.500, 780 m² ,114 m²,2,3,,,,,,2,,,Si
"Av. Costanera 2500, San Clemente",Av. Costanera 2500 San Clemente - Bs.as. Costa Atlántica,$,900, 39 m² ,37 m²,1,2,,,Lateral,,,1,Departamento,,
"La Paz 437, Santa Coloma, Baradero",La Paz 437 Santa Coloma - Baradero - Buenos Aires Interior,$,2.800, 1800 m² ,130 m²,5,7,,,,,,,,10 años,Si
"Anselmo Alvarez 00000, Villa La Angostura, Los Lagos",Anselmo Alvarez 00000 Villa La Angostura - Los Lagos - Neuquén,$,1.100, 22 m² ,20 m²,1,2,,,,,,1,,,
"Falucho 2188, Centro, Mar Del Plata",Falucho 2188 Centro - Mar Del Plata - Bs.as. Costa Atlántica,$,1.040, 47 m² ,45 m²,1,2,,,Frente,,,,Departamento,,
"Calle 147 Entre 45 Y 46, Otros Barrios, La Plata",Calle 147 Entre 45 Y 46 Otros Barrios - La Plata - Bs.as. G.b.a. Sur,$,3.500, 1100 m² ,130 m²,2,5,,,,,,,,10 años,Si
"Calle 41 41, Mar Azul",Calle 41 41 Mar Azul - Bs.as. Costa Atlántica,$,1.200, 80 m² ,50 m²,2,2,,,,,,1,,,
"Ugarte 1600, Belgrano,",Ugarte 1600 Belgrano - Capital Federal,$,988, 43 m² ,40 m²,1,2,,,Frente,1,,,Departamento,,
"Aroma 5400, Virrey Del Pino, La Matanza",Aroma 5400 Virrey Del Pino - La Matanza - Bs.as. G.b.a. Oeste,$,4.500, 3500 ha ,250 m²,3,5,,,,,,,,20 años,Si
"Borques 224, Gualeguaychú",Borques 224 Gualeguaychú - Entre Ríos,$,250, 200 m² ,180 m²,3,5,,,,,,,,,
"Rua Bico De Lacre 215, Bombinhas, Santa Catarina",Rua Bico De Lacre 215 Bombinhas - Santa Catarina - Brasil,$,2.000, 50 m² ,50 m²,2,2,,,Frente,1,,1,Departamento,,Si
"Salta 2200, San Bernardo",Salta 2200 San Bernardo - Bs.as. Costa Atlántica,$,500, 30 m² ,30 m²,1,11,,,,,,1,Monoambiente,,Si
"Avda. Interna Interbalnearia 568, Costa Del Este",Avda. Interna Interbalnearia 568 Costa Del Este - Bs.as. Costa Atlántica,$,2.500, 100 m² ,85 m²,2,4,,,,,,1,,,Si
"3 1583, Santa Teresita",3 1583 Santa Teresita - Bs.as. Costa Atlántica,$,900, 999 m² ,35 m²,1,2,,,,,,1,Departamento,,
"Paseo 117 698, Villa Gesell",Paseo 117 698 Villa Gesell - Bs.as. Costa Atlántica,$,970, 400 m² ,200 m²,4,5,,,,,,3,,,
"Av Costanera 2080, San Bernardo",Av Costanera 2080 San Bernardo - Bs.as. Costa Atlántica,$,700, 25 m² ,25 m²,1,1,,,Frente,,,,Departamento,,
"Av Mar Azul 1685, Mar Azul",Av Mar Azul 1685 Mar Azul - Bs.as. Costa Atlántica,$,1.500, 980 m² ,75 m²,2,4,,2,,,,1,,,
"Solis 1300, San Cristóbal,",Solis 1300 San Cristóbal - Capital Federal,$,6.800, 1 m² ,1 m²,1,1,,,Frente,,,,Piso,,Si
"Barrio Ecuestre 338, Costa Esmeralda",Barrio Ecuestre 338 Costa Esmeralda - Bs.as. Costa Atlántica,$,3.000, 200 m² ,165 m²,4,,,,,,,2,,,
"Pesquero Narwall 55, Valeria Del Mar",Pesquero Narwall 55 Valeria Del Mar - Bs.as. Costa Atlántica,$,111, 90 m² ,90 m²,2,3,,,Frente,101,,1,Departamento,,Si
"Avenida 1 230, Costa Del Este",Avenida 1 230 Costa Del Este - Bs.as. Costa Atlántica,$,1.660, 172 m² ,90 m²,2,3,,2,,,,1,,,
"De Las Glicina 345, Parque Jularó, Exaltación De La Cruz",De Las Glicina 345 Parque Jularó - Exaltación De La Cruz - Buenos Aires Interior,$,26.850, 1500 ha ,80 m²,2,,,,,,,,,,Si
"Libertad 400, Tandil",Libertad 400 Tandil - Buenos Aires Interior,$,400, 100 m² ,100 m²,1,4,,,Lateral,,,1,Departamento,,
"Altura Bustillo Km 12300 12300, San Carlos De Bariloche, Bariloche",Altura Bustillo Km 12300 12300 San Carlos De Bariloche - Bariloche - Río Negro,$,900, 1300 m² ,36 m²,,,,,,,,,,0 años,
"Victoria Ocampo Entre Los Alamos Y Ombú 300, Mar De Las Pampas",Victoria Ocampo Entre Los Alamos Y Ombú 300 Mar De Las Pampas - Bs.as. Costa Atlántica,$,3.000, 900 m² ,75 m²,2,4,,,,,,,,,
"Av.1 1800, Villa Gesell",Av.1 1800 Villa Gesell - Bs.as. Costa Atlántica,$,1.500, 80 m² ,75 m²,2,4,,,Frente,,,1,Departamento,,Si
"433 445, El Pato, Berazategui",433 445 El Pato - Berazategui - Bs.as. G.b.a. Sur,$,4.500, 3200 ha ,300 m²,3,6,,,,,,,,2 años,Si
"59 46, Mar Del Tuyú",59 46 Mar Del Tuyú - Bs.as. Costa Atlántica,$,1.000, 100 m² ,100 m²,2,3,,2,,,,1,,,
"Dr. Marcelo T. De Alvear 2800, Moreno",Dr. Marcelo T. De Alvear 2800 Moreno - Bs.as. G.b.a. Oeste,$,7.000, 2300 m² ,180 m²,3,4,,,,,,,,30 años,Si
"Calle 78 144, San Clemente",Calle 78 144 San Clemente - Bs.as. Costa Atlántica,$,1.300, 100 m² ,50 m²,2,3,,,,,,1,,,
"San Juan 641, Mar De Ajo",San Juan 641 Mar De Ajo - Bs.as. Costa Atlántica,$,900, 70 m² ,64 m²,2,3,,1,,,,1,,,
"Av Bustillo 11500, Pájaro Azul, Bariloche",Av Bustillo 11500 Pájaro Azul - Bariloche - Río Negro,$,3.950, 1300 m² ,230 m²,3,5,,2,,,,1,,,
"Haiti 2141, El Canal, Villa Carlos Paz",Haiti 2141 El Canal - Villa Carlos Paz - Córdoba,$,900, 650 m² ,35 m²,1,2,,,Frente,,,2,Departamento,,Si
"Del Zorzal 137 5000, Pinamar",Del Zorzal 137 5000 Pinamar - Bs.as. Costa Atlántica,$,2.500, 900 m² ,400 m²,4,5,,,,,,2,,,
"174 Y Playa 1 0, Mar De Las Pampas",174 Y Playa 1 0 Mar De Las Pampas - Bs.as. Costa Atlántica,$,1.500, 60 m² ,45 m²,1,1,,,Frente,1,,1,Monoambiente,,Si
