titulo,localizacion,moneda,precio,superficie_total,superficie_cubierta,dormitorios,ambientes,expensas,pisos,disposicion,piso,departamentos_x_piso,cocheras,tipo_departamento,antiguedad,con_pileta
"Av San Martin 901, Florencio Varela",Av San Martin 901 Florencio Varela - Bs.as. G.b.a. Sur,U$S,80.000, 300 m² ,300 m²,,,,1,,,,,,20 años,
"De Los Escualos 500, Golf Nuevo, Pinamar",De Los Escualos 500 Golf Nuevo - Pinamar - Bs.as. Costa Atlántica,U$S,175.000, 114 m² ,114 m²,3,4,,2,,,,1,,37 años,
"San Matias A La Laguna En Area 5, Escobar, San Matías, Escobar","San Matias A La Laguna En Area 5, Escobar San Matías - Escobar - Bs.as. G.b.a. Norte",U$S,82.000, 982 m² ,,,,,,,,,,,,
"Juncal 4690, Palermo Nuevo,",Juncal 4690 Palermo Nuevo - Capital Federal,U$S,1.600, 95 m² ,95 m²,2,3,9735,,Frente,,,1,,17 años,Si
"Irigoyen Sn, Cañuelas",Irigoyen Sn Cañuelas - Buenos Aires Interior,U$S,165.000, 200 m² ,180 m²,3,,,,,,,2,,,
"20bis Y 21 Entre 672 Y 673 123, Otros Barrios, La Plata",20bis Y 21 Entre 672 Y 673 123 Otros Barrios - La Plata - Bs.as. G.b.a. Sur,U$S,7.500, 299.98 m² ,,,,,,Otro,,,,,,
"Otamendi Al 300, Caballito,",Otamendi Al 300 Caballito - Capital Federal,$,14.500, 61 m² ,55 m²,2,3,5000,,Frente,,,,Departamento,45 años,
"Carlos Pellegrini 693, San Nicolás,",Carlos Pellegrini 693 San Nicolás - Capital Federal,U$S,35.000, 120 m² ,120 m²,,,3000,1,,,,,,10 años,
"Mariano Acha Al 4100, Saavedra,",Mariano Acha Al 4100 Saavedra - Capital Federal,$,15.000, 38 m² ,34 m²,1,2,1400,1,Frente,,,,,20 años,
"Castro Al 800, General Rodríguez",Castro Al 800 General Rodríguez - Buenos Aires Interior,U$S,159.000, 1320 m² ,100 m²,2,,,,,,,3,,30 años,Si
"De La Chincha Sn 1, La Herradura, Pinamar",De La Chincha Sn 1 La Herradura - Pinamar - Bs.as. Costa Atlántica,$,140.000, 450 m² ,450 m²,3,4,,1,,,,1,,,Si
"Paseo 105 168, Villa Gesell",Paseo 105 168 Villa Gesell - Bs.as. Costa Atlántica,$,1.200, 48 m² ,40 m²,1,2,,,Contrafrente,,,1,Departamento,,
"Av Gral San Martin 3201, Florida Oeste, Vicente López",Av Gral San Martin 3201 Florida Oeste - Vicente López - Bs.as. G.b.a. Norte,$,16.900, 150 m² ,150 m²,,,,,,,,,,20 años,
"Rioja 3300, San Bernardo",Rioja 3300 San Bernardo - Bs.as. Costa Atlántica,$,31, 90 m² ,80 m²,2,,,,,,,1,,,
"Av Jose Contreras Y Contreras 000, Otros Barrios,",Av Jose Contreras Y Contreras 000 Otros Barrios - Salta,U$S,48.500, 62 m² ,62 m²,3,3,,1,Contrafrente,,4,,Departamento,,
"Arroyo Paycarabí 2565, San Fernando",Arroyo Paycarabí 2565 San Fernando - Bs.as. G.b.a. Norte,U$S,160.000, 180 m² ,180 m²,3,4,,2,,,,,,6 años,Si
"Ruta 6 Km 149 Al 100, General Rodríguez",Ruta 6 Km 149 Al 100 General Rodríguez - Buenos Aires Interior,U$S,275.000, 354 m² ,308 m²,3,,,,,,,2,,0 años,Si
"J.b.alberdi 4800, Caseros",J.b.alberdi 4800 Caseros - Bs.as. G.b.a. Oeste,$,450.000, 130 m² ,87 m²,,,,,,,,,,0 años,
"Av. De Los Lagos 3100, Nordelta, Tigre",Av. De Los Lagos 3100 Nordelta - Tigre - Bs.as. G.b.a. Norte,U$S,210.000, 110 m² ,110 m²,1,3,,,,,,1,,,
"Silverio Basabe 12, Pilar Del Este, Pilar",Silverio Basabe 12 Pilar Del Este - Pilar - Bs.as. G.b.a. Norte,U$S,105.000, 315 m² ,80 m²,2,,,,,,,2,,,
