post_id,titulo,precio,moneda,provincia,barrio,localizacion,tipo_propiedad,tipo_operacion,superficie_total,superficie_cubierta,dormitorios,ambientes,banos,expensas,piso,departamentos_x_piso,pisos,antiguedad,tipo_departamento,disposicion,condiciones_especiales,tipo_vendedor,vendedor,fotos,latitud,longitud,cocheras,descripcion,apto_credito,con_aire,con_jardin,con_parrilla,con_pileta,apto_profesional,url,
754640192,La Celina Al 100  Ingeniero Maschwitz  Escobar,260.000,U$S,,,La Celina Al 100 Ingeniero Maschwitz - Escobar - Bs.as. G.b.a. Norte,,Otro, 200 m² ,200 m²,3,,3,,,,,10 años,,,,,Maroto Propiedades,,,,2,,,,,,,,https://casa.mercadolibre.com.ar/MLA-754640192-countries-y-barrios-cerrados-venta-la-celina-_JM,
755189655,Tintoretto Al 3000  El Cazador  Escobar,200.000,U$S,,,Tintoretto Al 3000 El Cazador - Escobar - Bs.as. G.b.a. Norte,,Otro, 2050 m² ,130 m²,3,4,2,,,,1,10 años,,,,,Broker Manager: Juan Marcos Fischbock. Serrano Propiedades  Omar Serrano C. S. I. 4486,,,,,,,,Si,,Si,,https://casa.mercadolibre.com.ar/MLA-755189655-casa-barrio-el-cazador-_JM,
754829081,San Matias Al 100  San Matías  Escobar,210.000,U$S,,,San Matias Al 100 San Matías - Escobar - Bs.as. G.b.a. Norte,,Otro, 160 m² ,160 m²,3,,2,,,,1,0 años,,,,,Blanco Propiedades,,,,1,,,,Si,Si,,,https://casa.mercadolibre.com.ar/MLA-754829081-casas-venta-san-matias-_JM,
754829099,San Matias Al 100  San Matías  Escobar,210.000,U$S,,,San Matias Al 100 San Matías - Escobar - Bs.as. G.b.a. Norte,,Otro, 160 m² ,160 m²,3,,2,,,,1,0 años,,,,,Blanco Propiedades,,,,1,,,,Si,Si,,,https://casa.mercadolibre.com.ar/MLA-754829099-casas-venta-san-matias-_JM,
749303267,El Cantón Norte Al 100  El Cantón  Escobar,298.000,U$S,,,El Cantón Norte Al 100 El Cantón - Escobar - Bs.as. G.b.a. Norte,,Otro,,178 m²,3,,2,,,,2,0 años,,,,,Blanco Propiedades,,,,1,,,Si,Si,Si,,,https://casa.mercadolibre.com.ar/MLA-749303267-casas-venta-el-canton-_JM,
751938513,Casa A Estrenar  Vista Al Lago En Ceibos  Puertos  Escobar,425.000,U$S,,,Casa A Estrenar  Vista Al Lago En Ceibos Puertos - Escobar - Bs.as. G.b.a. Norte,,Otro, 786 m² ,177 m²,3,,4,,,,,0 años,,,,,Puertos,,,,1,,,,,,,,https://casa.mercadolibre.com.ar/MLA-751938513-casa-en-venta-vista-al-lago-en-ceibos-_JM,
752321677,El Canton Al 100  El Cantón  Escobar,200.000,U$S,,,El Canton Al 100 El Cantón - Escobar - Bs.as. G.b.a. Norte,,Otro,,160 m²,3,,2,,,,,0 años,,,,,Susana Aravena Propiedades,,,,2,,,,,,,,https://casa.mercadolibre.com.ar/MLA-752321677-casas-venta-el-canton-_JM,
752184051,La Barra Al 100  La Barra Village  Escobar,100.000,U$S,,,La Barra Al 100 La Barra Village - Escobar - Bs.as. G.b.a. Norte,,Otro, 800 m² ,,,,,,,,,0 años,,,,,Vanina Russi Propiedades,,,,,,,,,,Si,,https://casa.mercadolibre.com.ar/MLA-752184051-countries-y-barrios-cerrados-venta-la-barra-village-_JM,
752039212,Nahuel Huapi Al 700  Ingeniero Maschwitz  Escobar,90.000,U$S,,,Nahuel Huapi Al 700 Ingeniero Maschwitz - Escobar - Bs.as. G.b.a. Norte,,Otro, 300 m² ,90 m²,2,3,2,,,,1,0 años,,,,,Sergio Morcillo,,,,1,,,,Si,,,,https://casa.mercadolibre.com.ar/MLA-752039212-casa-ingeniero-maschwitz-_JM,
752798031,Jardines De Escobar  Belén De Escobar  Escobar,140.000,U$S,,,Jardines De Escobar Belén De Escobar - Escobar - Bs.as. G.b.a. Norte,,Otro, 400 m² ,140 m²,3,5,2,,,,2,0 años,,,,,Mauro Marvisi,,,,2,,,,,,,,https://casa.mercadolibre.com.ar/MLA-752798031-casa-en-barrio-privado-jardines-de-escobar-_JM,
753626743,Colectora De Acceso Al 100  San Matías  Escobar,230.000,U$S,,,Colectora De Acceso Al 100 San Matías - Escobar - Bs.as. G.b.a. Norte,,Otro, 150 m² ,150 m²,3,,2,,,,,0 años,,,,,Top Bienes Raíces,,,,2,,,,,,,,https://casa.mercadolibre.com.ar/MLA-753626743-countries-y-barrios-cerrados-venta-san-matias-_JM,
751832376,San Matías- Lote Al 600  San Matías  Escobar,305.000,U$S,,,San Matías- Lote Al 600 San Matías - Escobar - Bs.as. G.b.a. Norte,,Otro, 759 m² ,209 m²,4,6,2,,,,2,0 años,,,,,Izrastzoff Compañía Inmobiliaria,,,,2,,,,Si,,,,https://casa.mercadolibre.com.ar/MLA-751832376-casa-san-matias-_JM,
752767691,Puertos Del Lago / Acacias Al 100  Puertos Del Lago - Acacias  Escobar,450.000,U$S,,,Puertos Del Lago / Acacias Al 100 Puertos Del Lago - Acacias - Escobar - Bs.as. G.b.a. Norte,,Otro, 263 m² ,230 m²,4,,4,,,,,0 años,,,,,Luchia - Puig,,,,,,,,,,,,https://casa.mercadolibre.com.ar/MLA-752767691-casas-venta-puertos-acacias-_JM,
753622690,San Matias Al 100  San Matías  Escobar,210.000,U$S,,,San Matias Al 100 San Matías - Escobar - Bs.as. G.b.a. Norte,,Otro, 160 m² ,160 m²,3,,4,,,,,0 años,,,,,Top Bienes Raíces,,,,2,,,,,Si,,,https://casa.mercadolibre.com.ar/MLA-753622690-countries-y-barrios-cerrados-venta-san-matias-_JM,
754026952,Barrio San Matias Al 100  San Matías  Escobar,275.000,U$S,,,Barrio San Matias Al 100 San Matías - Escobar - Bs.as. G.b.a. Norte,,Otro, 154 m² ,154 m²,3,,3,,,,,0 años,,,,,Oreilly  Torrado & Sanguinetti,,,,,,,,Si,Si,Si,,https://casa.mercadolibre.com.ar/MLA-754026952-countries-y-barrios-cerrados-venta-san-matias-_JM,
752318614,San Matias Al 180300  San Matías  Escobar,340.000,U$S,,,San Matias Al 180300 San Matías - Escobar - Bs.as. G.b.a. Norte,,Otro,,195 m²,3,,2,,,,2,0 años,,,,,Mac Prop / M Majersky (csi 6084),,,,,,,,Si,Si,,,https://casa.mercadolibre.com.ar/MLA-752318614-casas-venta-san-matias-_JM,
749303541,El Cantón Golf Al 100  El Cantón  Escobar,285.000,U$S,,,El Cantón Golf Al 100 El Cantón - Escobar - Bs.as. G.b.a. Norte,,Otro,,180 m²,3,,4,,,,,0 años,,,,,Blanco Propiedades,,,,2,,,Si,,Si,,,https://casa.mercadolibre.com.ar/MLA-749303541-casas-venta-el-canton-_JM,
754844853,Puertos Del Lago - Acacias Al 100  Puertos Del Lago - Acacias  Escobar,540.000,U$S,,,Puertos Del Lago - Acacias Al 100 Puertos Del Lago - Acacias - Escobar - Bs.as. G.b.a. Norte,,Otro, 240 m² ,165 m²,3,,3,,,,,0 años,,,,,Blanco Propiedades,,,,3,,,,Si,,,,https://casa.mercadolibre.com.ar/MLA-754844853-casas-venta-puertos-acacias-_JM,
754451325,Los Cerros Al 800  Haras Santa María  Escobar,299.000,U$S,,,Los Cerros Al 800 Haras Santa María - Escobar - Bs.as. G.b.a. Norte,,Otro, 943 m² ,210 m²,4,,4,,,,,0 años,,,,,Top Bienes Raíces,,,,,,,Si,Si,Si,Si,,https://casa.mercadolibre.com.ar/MLA-754451325-countries-y-barrios-cerrados-venta-haras-santa-maria-el-remanso-_JM,
755107224,Sin Dirección Al 100  San Matías  Escobar,195.000,U$S,,,Sin Dirección Al 100 San Matías - Escobar - Bs.as. G.b.a. Norte,,Otro, 146 m² ,146 m²,2,1,,,,,,0 años,,,,,Top Bienes Raíces,,,,,,,,,,,,https://casa.mercadolibre.com.ar/MLA-755107224-countries-y-barrios-cerrados-venta-san-matias-_JM,
755333713,S/n Al 100  San Matías  Escobar,215.000,U$S,,,S/n Al 100 San Matías - Escobar - Bs.as. G.b.a. Norte,,Otro, 140 m² ,140 m²,3,,2,,,,,0 años,,,,,Top Bienes Raíces,,,,1,,,,,Si,Si,,https://casa.mercadolibre.com.ar/MLA-755333713-countries-y-barrios-cerrados-venta-san-matias-_JM,
754827446,Puertos Del Lago - Ceibos Al 100  Belén De Escobar  Escobar,340.000,U$S,,,Puertos Del Lago - Ceibos Al 100 Belén De Escobar - Escobar - Bs.as. G.b.a. Norte,,Otro, 585 m² ,190 m²,3,,2,,,,2,0 años,,,,,Blanco Propiedades,,,,1,,,,Si,Si,,,https://casa.mercadolibre.com.ar/MLA-754827446-casas-venta-puertos-ceibos-_JM,
754829338,San Matias Al 100  San Matías  Escobar,239.000,U$S,,,San Matias Al 100 San Matías - Escobar - Bs.as. G.b.a. Norte,,Otro, 183 m² ,155 m²,3,,2,,,,1,0 años,,,,,Blanco Propiedades,,,,,,,,Si,Si,,,https://casa.mercadolibre.com.ar/MLA-754829338-casas-venta-san-matias-_JM,
754832304,El Cantón Norte Al 100  El Cantón  Escobar,327.000,U$S,,,El Cantón Norte Al 100 El Cantón - Escobar - Bs.as. G.b.a. Norte,,Otro, 184 m² ,200 m²,4,,2,,,,1,0 años,,,,,Blanco Propiedades,,,,2,,,,Si,Si,Si,,https://casa.mercadolibre.com.ar/MLA-754832304-casas-venta-el-canton-_JM,
