post_id,titulo,precio,moneda,provincia,barrio,localizacion,tipo_propiedad,tipo_operacion,superficie_total,superficie_cubierta,dormitorios,ambientes,banos,expensas,piso,departamentos_x_piso,pisos,antiguedad,tipo_departamento,disposicion,condiciones_especiales,tipo_vendedor,vendedor,fotos,latitud,longitud,cocheras,descripcion,apto_credito,con_aire,con_jardin,con_parrilla,con_pileta,apto_profesional,
752344164,Scalabrini Ortiz 1507  Palermo Soho ,25.000,$,,,Scalabrini Ortiz 1507 Palermo Soho - Capital Federal,departamento,alquiler, 75 m² ,67 m²,3,4,2,2350,,,,,,,,,,,,,,,,Si,,,,,
752033923,Av Golf 100  Nordelta Sendero  Tigre,17.000,$,,,Av Golf 100 Nordelta Sendero - Tigre - Bs.as. G.b.a. Norte,departamento,alquiler, 69 m² ,60 m²,2,3,2,,,,,4 años,Dúplex,Frente,,,,,,,1,,,Si,,Si,Si,,
752914016,Oro 2671  Palermo ,27.500,$,,,Oro 2671 Palermo - Capital Federal,departamento,alquiler, 114 m² ,106 m²,2,3,2,4000,7,,,10 años,Semi piso,Contrafrente,,,,,,,1,,,,,,,,
752910054,Avenida Maipú 1800  Vicente López,22.000,$,,,Avenida Maipú 1800 Vicente López - Bs.as. G.b.a. Norte,departamento,alquiler, 77 m² ,70 m²,3,4,2,,,,,,,,,,,,,,1,,,,,,,,
752129577,Pueyrredon 3815 3815  José C. Paz,5.900,$,,,Pueyrredon 3815 3815 José C. Paz - Bs.as. G.b.a. Norte,departamento,alquiler, 40 m² ,40 m²,1,2,1,,,,,,,,,,,,,,,,,,,,,,
753739480,Pte. Roca 100  Rosario,16.000,$,,,Pte. Roca 100 Rosario - Santa Fe,departamento,alquiler, 156 m² ,156 m²,5,5,3,,,,,,,Frente,,,Barabino Buenos Negocios Inmobiliarios,,,,1,,,,,,,,
751578488,Av Congreso 3000  Belgrano ,15.000,$,,,Av Congreso 3000 Belgrano - Capital Federal,departamento,alquiler, 51 m² ,44 m²,1,2,1,3000,1,4,4,4 años,Departamento,Contrafrente,,,,,,,1,,,,,,,,
753278677,Jorge Newvery 1200  Mar De Ajo,16.500,$,,,Jorge Newvery 1200 Mar De Ajo - Bs.as. Costa Atlántica,departamento,alquiler, 49 m² ,42 m²,1,2,1,,,6,3,29 años,Departamento,Contrafrente,,,,,,,,,,,,Si,,,
753471378,Pieres 554  Liniers ,9.000,$,,,Pieres 554 Liniers - Capital Federal,departamento,alquiler, 50 m² ,50 m²,1,2,1,1000,1,,2,,Departamento,Contrafrente,,,,,,,,,,,,,,,
751827251,Rivadavia 1550  Cañuelas,8.200,$,,,Rivadavia 1550 Cañuelas - Buenos Aires Interior,departamento,alquiler, 38 m² ,38 m²,1,2,1,,,,,,,,,,,,,,,,,,,,,,
753929397,Santos Vega 7000  Villa Bosch  Tres De Febrero,10.500,$,,,Santos Vega 7000 Villa Bosch - Tres De Febrero - Bs.as. G.b.a. Oeste,departamento,alquiler, 51 m² ,45 m²,2,3,1,,,,,1 años,Semi piso,Frente,,,Bocchino Propiedades,,,,,,,Si,,,,Si,
752543821,Arévalo 1736  Palermo Hollywood ,13.000,$,,,Arévalo 1736 Palermo Hollywood - Capital Federal,departamento,alquiler, 30 m² ,30 m²,1,1,1,3000,8,6,12,8 años,Departamento,Contrafrente,,,,,,,,,,Si,,,Si,Si,
752145601,Pte. Luis Saenz Peña 1800  San Cristóbal ,12.000,$,,,Pte. Luis Saenz Peña 1800 San Cristóbal - Capital Federal,departamento,alquiler, 43 m² ,43 m²,1,2,1,,5,4,5,45 años,Departamento,Contrafrente,,,,,,,,,,,,,,Si,
751786489,Avenida Juan B. Justo 1045  Palermo ,1.100,U$S,,,Avenida Juan B. Justo 1045 Palermo - Capital Federal,departamento,alquiler, 60 m² ,55 m²,1,2,1,5800,,,,9 años,Departamento,Frente,,,,,,,1,,,Si,Si,Si,Si,,
751657448,Av. Dorrego 2699  Palermo ,28.000,$,,,Av. Dorrego 2699 Palermo - Capital Federal,departamento,alquiler, 130 m² ,125 m²,4,5,3,9500,20,2,30,,Departamento,Frente,,,,,,,1,,,,,,,,
751811392,Av. Castañares Y Miró Sn  Parque Chacabuco ,9.900,$,,,Av. Castañares Y Miró Sn Parque Chacabuco - Capital Federal,departamento,alquiler, 35 m² ,32 m²,1,2,1,,,,,,,,,,Luye2008,,,,,,,,,,,,
752131994,Julio Marc 1950  Tiro Suizo  Rosario,6.500,$,,,Julio Marc 1950 Tiro Suizo - Rosario - Santa Fe,departamento,alquiler, 74 m² ,74 m²,2,3,1,,,,,,,,,,,,,,,,,,,,,,
753968582,Corrientes 369  10° B "rio"  Olivos  Vicente López,28.900,$,,,Corrientes 369  10° B "rio" Olivos - Vicente López - Bs.as. G.b.a. Norte,departamento,alquiler, 70 m² ,58 m²,1,2,1,8000,,,,0 años,,,,,Narvaez,,,,1,,,,,,,,
752745395,Casonas De Manantiales Sn  Manantiales ,23.000,$,,,Casonas De Manantiales Sn Manantiales - Córdoba,departamento,alquiler, 110 m² ,100 m²,3,3,2,,,,,,,,,,,,,,1,,,,,,,,
754802582,La Rioja 3266  San Bernardo,2.000,$,,,La Rioja 3266 San Bernardo - Bs.as. Costa Atlántica,departamento,alquiler, 100 m² ,80 m²,2,4,2,,,,,20 años,,,,,,,,,1,,,,,Si,,,
754718253,Senillosa Al 100  Caballito ,15.000,$,,,Senillosa Al 100 Caballito - Capital Federal,departamento,alquiler, 56 m² ,50 m²,2,3,1,4700,,6,13,45 años,Departamento,Contrafrente,,,Gabriel Torres Inmobiliaria,,,,,,,,,,,,
752448808,Avellaneda 164  Caballito ,16.000,$,,,Avellaneda 164 Caballito - Capital Federal,departamento,alquiler, 68 m² ,63 m²,2,3,1,,,,,,Departamento,Frente,,,,,,,,,,,,,,,
754801538,Avenida Mitre Al 6500  Wilde  Avellaneda,7.800,$,,,Avenida Mitre Al 6500 Wilde - Avellaneda - Bs.as. G.b.a. Sur,departamento,alquiler, 50 m² ,50 m²,1,2,1,,,,,0 años,Departamento,,,,Novoa Propiedades,,,,,,,,,,,,
751602963,Juncal 4690  Palermo Nuevo ,1.600,U$S,,,Juncal 4690 Palermo Nuevo - Capital Federal,departamento,alquiler, 95 m² ,95 m²,2,3,2,9735,,,,17 años,,Frente,,,Evoluer Real Estate Co.,,,,1,,,Si,,Si,Si,,
